#time,s ray1,V ray2,V
#
1.359999999999999718e-04 3.445584999999999620e-02 3.588370500000000185e-02
1.368000000000000184e-04 3.556818999999999259e-02 3.727129999999999332e-02
1.375999999999999836e-04 3.650476500000000152e-02 3.759615000000000179e-02
1.383999999999999759e-04 3.559463500000000641e-02 3.661254000000000591e-02
1.392000000000000225e-04 3.462731999999999616e-02 3.670919000000000959e-02
1.399999999999999877e-04 3.476810000000001011e-02 3.619550499999999588e-02
1.407999999999999801e-04 3.511545500000000375e-02 3.614281000000000438e-02
1.415999999999999995e-04 3.586274000000000406e-02 3.779381499999999450e-02
1.423999999999999919e-04 3.631121500000000085e-02 3.734151499999999874e-02
1.431999999999999842e-04 3.522973999999999550e-02 3.601976999999999957e-02
1.440000000000000036e-04 3.450869499999999895e-02 3.621742500000000448e-02
1.447999999999999960e-04 3.496588999999999947e-02 3.627015500000001225e-02
1.455999999999999883e-04 3.537915000000001198e-02 3.668720499999998663e-02
1.464000000000000078e-04 3.595510999999999846e-02 3.803966000000000292e-02
1.471999999999999730e-04 3.563857499999999873e-02 3.716154999999999459e-02
1.479999999999999925e-04 3.441194499999999934e-02 3.604626000000001051e-02
1.488000000000000119e-04 3.439427999999999930e-02 3.676641500000000368e-02
1.495999999999999771e-04 3.522084999999999799e-02 3.687179999999999624e-02
1.503999999999999966e-04 3.572209500000000232e-02 3.719676000000001620e-02
1.511999999999999889e-04 3.576600000000000612e-02 3.741187000000000679e-02
1.519999999999999813e-04 3.513288999999999995e-02 3.629645500000001218e-02
1.527999999999999736e-04 3.412609500000000906e-02 3.569489499999999732e-02
1.535999999999999930e-04 3.451300999999999675e-02 3.662576000000000026e-02
1.543999999999999854e-04 3.574848499999998958e-02 3.695948000000000983e-02
1.551999999999999777e-04 3.579683499999999907e-02 3.698598000000000857e-02
1.559999999999999972e-04 3.532193999999999612e-02 3.749097000000000540e-02
1.568000000000000166e-04 3.487788499999999736e-02 3.639752000000000265e-02
1.575999999999999819e-04 3.455697500000000366e-02 3.587058499999999650e-02
1.583999999999999742e-04 3.502735499999999613e-02 3.688052500000001122e-02
1.592000000000000207e-04 3.555046499999999637e-02 3.723618999999999540e-02
1.599999999999999860e-04 3.549777000000000488e-02 3.720549500000000509e-02
1.607999999999999783e-04 3.549350500000000852e-02 3.708258000000000387e-02
1.616000000000000249e-04 3.489999500000000310e-02 3.604629499999999903e-02
1.623999999999999901e-04 3.451301500000000105e-02 3.627902499999999253e-02
1.631999999999999825e-04 3.556812499999999211e-02 3.778949499999999934e-02
1.640000000000000019e-04 3.588030499999999429e-02 3.722300500000000345e-02
1.647999999999999942e-04 3.537035999999999653e-02 3.709565000000000778e-02
1.655999999999999866e-04 3.508017500000000510e-02 3.699907000000000196e-02
1.664000000000000060e-04 3.461411000000001736e-02 3.589690500000000672e-02
1.671999999999999984e-04 3.495264499999999747e-02 3.709129500000001023e-02
1.679999999999999907e-04 3.591112499999999513e-02 3.790805499999998912e-02
1.687999999999999830e-04 3.580565000000000137e-02 3.690254500000000187e-02
1.695999999999999754e-04 3.486913500000000249e-02 3.674012000000000805e-02
1.703999999999999677e-04 3.471088499999999688e-02 3.682787000000000560e-02
1.711999999999999872e-04 3.500104000000000409e-02 3.634924000000001182e-02
1.720000000000000337e-04 3.538342999999999350e-02 3.701666500000001109e-02
1.727999999999999719e-04 3.599457500000000088e-02 3.782454500000000108e-02
1.735999999999999913e-04 3.555493499999999585e-02 3.691127000000000991e-02
1.744000000000000378e-04 3.490429500000000185e-02 3.659961500000000201e-02
1.751999999999999760e-04 3.513732500000001091e-02 3.667427000000000881e-02
1.759999999999999954e-04 3.527364000000000194e-02 3.623950500000000519e-02
1.767999999999999878e-04 3.525611000000000717e-02 3.702104999999999979e-02
1.775999999999999801e-04 3.577926000000000717e-02 3.781137000000000387e-02
1.783999999999999996e-04 3.546268500000000073e-02 3.669604999999999395e-02
1.791999999999999919e-04 3.445586000000000482e-02 3.619551000000000018e-02
1.799999999999999842e-04 3.493508499999999073e-02 3.709563500000000180e-02
1.808000000000000037e-04 3.566938500000001178e-02 3.687170500000000462e-02
1.815999999999999960e-04 3.576616500000000254e-02 3.708254500000000842e-02
1.823999999999999884e-04 3.567378999999999689e-02 3.719229000000000285e-02
1.832000000000000078e-04 3.504933999999999827e-02 3.603301500000000157e-02
1.839999999999999730e-04 3.454367500000000979e-02 3.625694499999999876e-02
1.847999999999999654e-04 3.519886500000000279e-02 3.732835999999999793e-02
1.856000000000000390e-04 3.565171500000000049e-02 3.705173999999999968e-02
1.864000000000000043e-04 3.526483000000000395e-02 3.673559000000000546e-02
1.871999999999999966e-04 3.504509500000001221e-02 3.703417000000000514e-02
1.879999999999999618e-04 3.483404999999999141e-02 3.630964999999999887e-02
1.887999999999999813e-04 3.475045000000000217e-02 3.651165499999999703e-02
1.895999999999999736e-04 3.532198500000000019e-02 3.733722000000000429e-02
1.903999999999999931e-04 3.573962499999999709e-02 3.695525500000001323e-02
1.912000000000000125e-04 3.520759000000000388e-02 3.674885000000001345e-02
1.920000000000000320e-04 3.501424500000001327e-02 3.702105500000001104e-02
1.927999999999999701e-04 3.526489000000000706e-02 3.628768000000000965e-02
1.935999999999999895e-04 3.526485500000000467e-02 3.635350999999999166e-02
1.944000000000000090e-04 3.566498499999999627e-02 3.777181500000000025e-02
1.951999999999999471e-04 3.581445999999999935e-02 3.722298500000000010e-02
1.960000000000000208e-04 3.503184500000000590e-02 3.655996000000000939e-02
1.968000000000000402e-04 3.473727999999999538e-02 3.683223000000000746e-02
1.975999999999999784e-04 3.516821499999999573e-02 3.685421000000001224e-02
1.983999999999999978e-04 3.538806000000000590e-02 3.705184000000000255e-02
1.991999999999999630e-04 3.574412500000000159e-02 3.740755500000000205e-02
